Import Data,Date,Item,Received,Item Not Received Data,Pass 1,Pass 2,Pass 3,Notes
10/18/2022;[40316];Spuki,10.18.2022,40316.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Gauntlets of Guiding Touch
10/18/2022;[40321];Luckylira,10.18.2022,40321.0,Luckylira,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Idol of the Shooting Star
10/18/2022;[40325];Lumchi,10.18.2022,40325.0,Lumchi,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Bindings of the Expansive Mind
10/18/2022;[40080];Neverdruid,10.18.2022,40080.0,Neverdruid,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Lost Jewel
10/18/2022;[40328];Duckiie,10.18.2022,40328.0,Duckiie,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Helm of Vital Protection
10/18/2022;[40337];Spuki,10.18.2022,40337.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Libram of Resurgence
10/18/2022;[40340];Spuki,10.18.2022,40340.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Helm of Unleashed Energy
10/18/2022;[40256];Roffle,10.18.2022,40256.0,Roffle,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Grim Toll
10/18/2022;[40345];Spuki,10.18.2022,40345.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Broken Promise
10/18/2022;[40352];Spuki,10.18.2022,40352.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Leggings of Voracious Shadows
10/18/2022;[40625];Hammerzz,10.18.2022,40625.0,Hammerzz,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Breastplate of the Lost Conqueror
10/18/2022;[40627];Lumchi,10.18.2022,40627.0,Lumchi,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Breastplate of the Lost Vanquisher
10/18/2022;[40204];Spuki,10.18.2022,40204.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Legguards of the Apostle
10/18/2022;[40257];Wyrmus,10.18.2022,40257.0,Wyrmus,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Defender's Code
10/18/2022;[40234];Toada,10.18.2022,40234.0,Toada,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Heigan's Putrid Vestments
10/18/2022;[40209];Spuki,10.18.2022,40209.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Bindings of the Decrepit
10/18/2022;[40241];Spuki,10.18.2022,40241.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Girdle of Unity
10/18/2022;[40249];Spuki,10.18.2022,40249.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Vest of Vitality
10/18/2022;[40638];Budulu,10.18.2022,40638.0,Budulu,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Mantle of the Lost Protector
10/18/2022;[40637];Sinc,10.18.2022,40637.0,Sinc,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Mantle of the Lost Conqueror
10/18/2022;[40366];Wyrmus,10.18.2022,40366.0,Wyrmus,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Platehelm of the Great Wyrm
10/18/2022;[40368];Spuki,10.18.2022,40368.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Murder
10/18/2022;[40377];Spuki,10.18.2022,40377.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Noble Birthright Pauldrons
10/18/2022;[40381];Spuki,10.18.2022,40381.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Sympathy
10/18/2022;[40387];Spuki,10.18.2022,40387.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Boundless Ambition
10/18/2022;[40396];Gagethemage,10.18.2022,40396.0,Gagethemage,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,The Turning Tide
10/18/2022;[40405];Sinc,10.18.2022,40405.0,Sinc,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Cape of the Unworthy Wizard
10/18/2022;[40405];Spuki,10.18.2022,40405.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Cape of the Unworthy Wizard
10/18/2022;[40632];Terrez,10.18.2022,40632.0,Terrez,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Crown of the Lost Protector
10/18/2022;[40633];Spuki,10.18.2022,40633.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Crown of the Lost Vanquisher
10/18/2022;[39733];Gagethemage,10.18.2022,39733.0,Gagethemage,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Gloves of Token Respect
10/18/2022;[39729];Duckiie,10.18.2022,39729.0,Duckiie,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Bracers of the Tyrant
10/18/2022;[39727];Relsie,10.18.2022,39727.0,Relsie,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Dislocating Handguards
10/18/2022;[40064];Spuki,10.18.2022,40064.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Thunderstorm Amulet
10/18/2022;[39706];Rumpdk,10.18.2022,39706.0,Rumpdk,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Sabatons of Sudden Reprisal
10/18/2022;[39714];Sneakybeak,10.18.2022,39714.0,Sneakybeak,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Webbed Death
10/18/2022;[40064];Budulu,10.18.2022,40064.0,Budulu,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Thunderstorm Amulet
10/18/2022;[39718];Spuki,10.18.2022,39718.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Corpse Scarab Handguards
10/18/2022;[40558];Neverdruid,10.18.2022,40558.0,Neverdruid,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Arcanic Tramplers
10/18/2022;[40562];Lumchi,10.18.2022,40562.0,Lumchi,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Hood of Rationality
10/18/2022;[40592];Spuki,10.18.2022,40592.0,Spuki,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Boots of Healing Energies
10/18/2022;[40531];Lilyna,10.18.2022,40531.0,Lilyna,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Mark of Norgannon
10/18/2022;[40630];Relsie,10.18.2022,40630.0,Relsie,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Gauntlets of the Lost Vanquisher
10/18/2022;[40629];Terrez,10.18.2022,40629.0,Terrez,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Gauntlets of the Lost Protector
10/18/2022;[40432];Zeralock,10.18.2022,40432.0,Zeralock,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Illustration of the Dragon Soul
10/18/2022;[40451];Budulu,10.18.2022,40451.0,Budulu,Bubblt;Budulu;Duckiie;Flencie;Gagethemage;Hammerzz;Lilyna;Luckylira;Lumchi;Manasponge;Mochtitan;Neverdruid;Rattenfänger;Reae;Relsie;Roffle;Rumpdk;Sinc;Sneakybeak;Spuki;Terrez;Toada;Wormgirl;Wyrmus;Zeralock;Elemenace,,,,Hyaline Helm of the Sniper
